"","X1","K_beta","Mean_C1","Mean_C2","N","N_C1","N_C2","N_Tail","pi_C1","pi_C2","pi_Tail","rcc_C1","rcc_C2","rcc_Tail","Scale_Tail","Shape_Tail","tail","Variance_C1","Variance_C2","coverage","K_B","K_BB","karyotype","sample","samplename","Mean_C3","N_C3","pi_C3","rcc_C3","Variance_C3","Mean_Tail","Variance_Tail","purity","ploidy","purity_conf_mad","wgd_status","wgd_uncertain"
"3705",3705,1,0.412908480193602,NA,6535,6415,NA,120,0.975620721450178,NA,0.0243792785498219,TRUE,NA,TRUE,0.057599999,0.944101306451928,TRUE,0.00779756023884143,NA,37,1,0,"1:1","7163a0f7-2c69-40b8-8857-8ab3f46f0acf","7163a0f7-2c69-40b8-8857-8ab3f46f0acf",NA,NA,NA,NA,NA,Inf,Inf,0.859,1.909,0.013,"no_wgd",FALSE
"3706",3706,1,0.289039318394684,NA,492,492,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,0.00484121163024424,NA,52,1,0,"2:1","7163a0f7-2c69-40b8-8857-8ab3f46f0acf","7163a0f7-2c69-40b8-8857-8ab3f46f0acf",NA,NA,NA,NA,NA,NA,NA,0.859,1.909,0.013,"no_wgd",FALSE
"3707",3707,1,0.3988296875,NA,128,128,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,0.0144001516186523,NA,28.5,1,0,"2:0","7163a0f7-2c69-40b8-8857-8ab3f46f0acf","7163a0f7-2c69-40b8-8857-8ab3f46f0acf",NA,NA,NA,NA,NA,NA,NA,0.859,1.909,0.013,"no_wgd",FALSE
"3708",3708,2,0.422233795264553,0.110975968699794,218,118,100,0,0.553272095140351,0.446727904859649,0,TRUE,TRUE,FALSE,NA,NA,FALSE,0.0140987859797949,0.00119234757922975,41,2,0,"1:0","7181dd10-1371-4cb6-9219-a9542c62b854","7181dd10-1371-4cb6-9219-a9542c62b854",NA,NA,NA,NA,NA,NA,NA,0.539,1.838,0.027,"no_wgd",FALSE
"3709",3709,2,0.257486364592958,0.0832602317448782,1968,1428,540,0,0.724091264072309,0.275908735927691,0,TRUE,TRUE,FALSE,NA,NA,FALSE,0.00455621468467696,0.000531649393581827,66,2,0,"1:1","7181dd10-1371-4cb6-9219-a9542c62b854","7181dd10-1371-4cb6-9219-a9542c62b854",NA,NA,NA,NA,NA,NA,NA,0.539,1.838,0.027,"no_wgd",FALSE
"3710",3710,1,0.167468852459016,NA,61,61,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,0.0115968588658963,NA,41,2,0,"1:1","718c5a31-6b19-4f68-9fb9-79b0c00d64a5","718c5a31-6b19-4f68-9fb9-79b0c00d64a5",NA,NA,NA,NA,NA,NA,NA,0.369,1.945,0.079,"no_wgd",FALSE
"3711",3711,2,0.6,0.477142877995991,175,13,150,12,0.0914156559213064,0.80041907480839,0.108165269270303,TRUE,FALSE,FALSE,0.074099999,1.72528264769747,TRUE,1.23259516440783e-32,0.033467771734455,16,2,0,"1:0","71982a1b-52a4-440f-bd5d-62a0e6cc7fd9","71982a1b-52a4-440f-bd5d-62a0e6cc7fd9",NA,NA,NA,NA,NA,0.176267063433766,Inf,0.687,2.193,0.034,"no_wgd",FALSE
"3712",3712,1,0.320168149645226,NA,5877,5877,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,0.00804461290027759,NA,34,1,0,"1:1","71982a1b-52a4-440f-bd5d-62a0e6cc7fd9","71982a1b-52a4-440f-bd5d-62a0e6cc7fd9",NA,NA,NA,NA,NA,NA,NA,0.687,2.193,0.034,"no_wgd",FALSE
"3713",3713,2,0.502632347418653,0.242183548087148,989,214,775,0,0.212180881221027,0.787819118778973,0,TRUE,FALSE,FALSE,NA,NA,FALSE,0.00436868236918926,0.00499641604790712,44,2,0,"2:1","71982a1b-52a4-440f-bd5d-62a0e6cc7fd9","71982a1b-52a4-440f-bd5d-62a0e6cc7fd9",NA,NA,NA,NA,NA,NA,NA,0.687,2.193,0.034,"no_wgd",FALSE
"3714",3714,2,0.782385845673384,0.380226017780367,431,141,265,25,0.328139177658326,0.601272162138746,0.0705886602029284,TRUE,FALSE,FALSE,0.055599999,1.51532851122004,TRUE,0.00663548274549422,0.00936585681613424,28,2,0,"2:0","71982a1b-52a4-440f-bd5d-62a0e6cc7fd9","71982a1b-52a4-440f-bd5d-62a0e6cc7fd9",NA,NA,NA,NA,NA,0.163492339108191,Inf,0.687,2.193,0.034,"no_wgd",FALSE
