K_beta,Mean_C1,Mean_C2,N,N_C1,N_C2,N_Tail,pi_C1,pi_C2,pi_Tail,rcc_C1,rcc_C2,rcc_Tail,Scale_Tail,Shape_Tail,tail,Variance_C1,Variance_C2,score,samplename,karyotype,Mean_C3,N_C3,pi_C3,rcc_C3,Variance_C3,Mean_Tail,Variance_Tail
1,0.5048786848715061,NA,779,714,NA,65,0.8706362861593523,NA,0.12936371384064768,TRUE,NA,TRUE,0.050599999,1.1073636431619318,TRUE,0.07506578098495882,NA,reICL,0bfd1068-3fe1-a95b-e050-11ac0c4860c3,2:0,NA,NA,NA,NA,NA,0.5218954721210292,Inf
2,0.4754698259955023,0.20721795738864818,410,147,234,29,0.3556198936302903,0.5510385565327999,0.0933415498369098,TRUE,TRUE,FALSE,0.050399999,1.970903256999029,TRUE,0.002885245605991484,0.0027943892428717045,reICL,0bfd1068-3fe1-a95b-e050-11ac0c4860c3,2:2,NA,NA,NA,NA,NA,0.10231042224420836,Inf
1,0.6644881767908033,NA,106,89,NA,17,0.8223874669548776,NA,0.1776125330451224,TRUE,NA,TRUE,0.063799999,1.0157615502103687,TRUE,0.009970249293830568,NA,reICL,0bfd1068-3fe4-a95b-e050-11ac0c4860c3,1:0,NA,NA,NA,NA,NA,4.111625127141848,Inf
1,0.40157596416651103,NA,1459,1281,NA,178,0.8607593336528956,NA,0.13924066634710433,TRUE,NA,TRUE,0.051899999,1.0045145696030786,TRUE,0.005945570263667632,NA,reICL,0bfd1068-3fe4-a95b-e050-11ac0c4860c3,1:1,NA,NA,NA,NA,NA,11.54801226728975,Inf
2,0.5816988069419621,0.28507310362508675,2173,290,1554,329,0.12726338882979968,0.6927673895990842,0.179969221571116,FALSE,TRUE,FALSE,0.050499999000000004,1.1682427617791225,TRUE,0.0035572689381805395,0.003093363934296673,reICL,0bfd1068-3fe4-a95b-e050-11ac0c4860c3,2:1,NA,NA,NA,NA,NA,0.3506614946029962,Inf
3,0.8435095414566226,0.405961025648586,889,178,488,77,0.20042862680112766,0.5310677617611858,0.10317973464486027,TRUE,FALSE,FALSE,0.052599999,1.511442617822717,TRUE,0.006576664688858131,0.00608188196625352,reICL,0bfd1068-3fe4-a95b-e050-11ac0c4860c3,2:0,0.17466924565764919,146,0.16532387679282637,FALSE,0.0050582417616838096,0.15544633437956926,Inf
2,0.4593719582883169,0.21416928857121295,1231,297,776,158,0.23121933891116558,0.6079768377153426,0.1608038233734918,TRUE,TRUE,FALSE,0.050499999000000004,1.3385174950352148,TRUE,0.0034692502606635364,0.0026817179341625426,reICL,0bfd1068-3fe4-a95b-e050-11ac0c4860c3,2:2,NA,NA,NA,NA,NA,0.19967987815143548,Inf
2,0.904918110863975,0.48595698602762,403,323,18,62,0.7956930779470724,0.03813672663739685,0.16617019541553069,FALSE,FALSE,FALSE,0.054799999,0.8825199255060473,TRUE,0.003163619626878424,0.0013430665286508958,reICL,0bfd1068-3fe6-a95b-e050-11ac0c4860c3,1:0,NA,NA,NA,NA,NA,Inf,Inf
1,0.464338373147892,NA,4661,4389,NA,272,0.9339656021594391,NA,0.06603439784056085,TRUE,NA,TRUE,0.051499999,0.8981358099556103,TRUE,0.004183711107923376,NA,reICL,0bfd1068-3fe6-a95b-e050-11ac0c4860c3,1:1,NA,NA,NA,NA,NA,Inf,Inf
2,0.6380352006661847,0.31670295034839446,1799,307,1417,75,0.16932806289019658,0.7801063925446923,0.050565544565111135,FALSE,TRUE,FALSE,0.050599999,0.9664988179824039,TRUE,0.002144277116625555,0.0024113120685415167,reICL,0bfd1068-3fe6-a95b-e050-11ac0c4860c3,2:1,NA,NA,NA,NA,NA,Inf,Inf
